"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","185","GET /status/400 возвращает HTTP 400","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем ошибку чтения пользователя, которого нет в сессии.","183","GET /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_read","",""
"Проверяем атомарное действие удаления пользователя.","370","DELETE /users/{id} удаляет пользователя и возвращает 204","tests.api","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем заголовок, ссылку на Swagger и состояние кнопок до выбора id пользователя.","234","На странице урока доступны основные элементы тренажёра","tests.ui","2026-05-08","passed","2026-05-08","","test_page_controls","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","183","GET /status/503 возвращает HTTP 503","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем атомарное UI-действие PATCH: меняется имя, email сохраняется.","2431","PATCH /users/{id} изменяет имя пользователя через UI","tests.ui","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","185","GET /status/403 возвращает HTTP 403","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем отдельный UI-сценарий получения удалённого пользователя.","2489","GET /users/{id} показывает 404 после удаления пользователя","tests.ui","2026-05-08","passed","2026-05-08","","test_users_get","",""
"Проверяем, что сразу после создания updated_at совпадает с created_at.","183","POST /users создает пользователя без истории изменений","tests.api.basic","2026-05-08","passed","2026-05-08","","test_basic_responses","",""
"Проверяем отдельную кнопку 422 в блоке статус-кодов.","642","Кнопка 422 показывает ошибку клиента","tests.ui","2026-05-08","passed","2026-05-08","","test_status_buttons","",""
"Проверяем учебную демонстрацию метода HEAD.","181","HEAD /users возвращает 200 без тела ответа","tests.api","2026-05-08","passed","2026-05-08","","test_http_methods","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","185","GET /status/401 возвращает HTTP 401","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что PUT перезаписывает name, email и role.","368","PUT /users/{id} полностью заменяет пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем эффект удаления отдельным коротким сценарием.","547","GET /users/{id} после DELETE возвращает 404","tests.api","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем отдельную кнопку 204 в блоке статус-кодов.","276","Кнопка 204 показывает ответ без тела","tests.ui","2026-05-08","passed","2026-05-08","","test_status_buttons","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","183","GET /status/404 возвращает HTTP 404","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","185","POST /users отклоняет некорректные данные: Некорректная роль","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","184","GET /status/301 возвращает HTTP 301","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что список пользователей приходит как JSON и соответствует базовому контракту.","788","GET /users возвращает JSON c корректным Content-Type","tests.api.basic","2026-05-08","passed","2026-05-08","","test_basic_responses","",""
"Проверяем, что PATCH имени не меняет email и role.","367","PATCH /users/{id} изменяет только переданные поля","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем атомарное UI-действие DELETE и статус 204.","2087","DELETE /users/{id} удаляет пользователя через UI","tests.ui","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","184","GET /status/200 возвращает HTTP 200","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем чтение одного пользователя по id.","371","GET /users/{id} возвращает существующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_read","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","185","GET /status/302 возвращает HTTP 302","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем учебную демонстрацию метода OPTIONS.","703","OPTIONS /users возвращает 204 без тела ответа","tests.api","2026-05-08","passed","2026-05-08","","test_http_methods","",""
"Проверяем, что после создания пользователь виден в списке и total увеличивается.","550","POST /users добавляет пользователя в GET /users текущей сессии","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","184","GET /status/422 возвращает HTTP 422","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем документированное поведение API без session header.","372","GET /users без X-Course-Session создает cookie-сессию и сохраняет ее в контексте","tests.api","2026-05-08","passed","2026-05-08","","test_users_list","",""
"Проверяем стартовое состояние учебной сессии: API отдаёт список пользователей, корректный session id и ожидаемые demo id.","184","GET /users возвращает 3 демо-пользователя для новой сессии","tests.api","2026-05-08","passed","2026-05-08","","test_users_list","",""
"Проверяем ошибку частичного обновления по несуществующему id.","185","PATCH /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","184","POST /users отклоняет некорректные данные: Пустое имя","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем документированное поведение полного обновления без необязательного поля role.","367","PUT /users/{id} без role сбрасывает роль в значение по умолчанию","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","183","GET /status/204 возвращает HTTP 204","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","184","POST /users отклоняет некорректные данные: Некорректный email","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем удаление по id, которого нет в текущей сессии.","184","DELETE /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем успешное создание пользователя через API.","186","POST /users создаёт пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","185","GET /status/201 возвращает HTTP 201","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем создание пользователя из формы и состояние кнопок GET/PUT/PATCH/DELETE после успешного POST.","1906","POST /users создаёт пользователя, подставляет id и включает CRUD-кнопки","tests.ui","2026-05-08","passed","2026-05-08","","test_users_create","",""
