"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","201","GET /status/503 возвращает HTTP 503","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","203","GET /status/200 возвращает HTTP 200","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что PUT перезаписывает name, email и role.","404","PUT /users/{id} полностью заменяет пользователя","tests.api","2026-06-22","passed","2026-06-22","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","201","GET /status/422 возвращает HTTP 422","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем заголовок, ссылку на Swagger и состояние кнопок до выбора id пользователя.","136","На странице урока доступны основные элементы тренажера","tests.ui","2026-06-22","passed","2026-06-22","","test_page_controls","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","201","GET /status/401 возвращает HTTP 401","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","203","GET /status/302 возвращает HTTP 302","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","204","GET /status/404 возвращает HTTP 404","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","203","POST /users отклоняет некорректные данные: Некорректная роль","tests.api","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем успешное создание пользователя через API.","204","POST /users создаёт пользователя","tests.api","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем документированное поведение полного обновления без необязательного поля role.","404","PUT /users/{id} без role сбрасывает роль в значение по умолчанию","tests.api","2026-06-22","passed","2026-06-22","","test_users_update","",""
"Проверяем ошибку чтения пользователя, которого нет в сессии.","201","GET /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-06-22","passed","2026-06-22","","test_users_read","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","201","GET /status/403 возвращает HTTP 403","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем отдельную кнопку 422 в блоке статус-кодов.","540","Кнопка 422 показывает ошибку клиента","tests.ui","2026-06-22","passed","2026-06-22","","test_status_buttons","",""
"Проверяем атомарное действие удаления пользователя.","402","DELETE /users/{id} удаляет пользователя и возвращает 204","tests.api","2026-06-22","passed","2026-06-22","","test_users_delete","",""
"Проверяем, что после создания пользователь виден в списке и total увеличивается.","604","POST /users добавляет пользователя в GET /users текущей сессии","tests.api","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем, что тренажёр отправляет GET /users и показывает метод, URL, X-Course-Session и JSON-ответ.","403","Кнопка GET /users показывает анатомию запроса и ответа","tests.ui","2026-06-22","passed","2026-06-22","","test_users_get","",""
"Проверяем, что необязательное поле role заполняется значением по умолчанию.","201","POST /users без role создает пользователя с ролью по умолчанию","tests.api","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем отдельную кнопку 204 в блоке статус-кодов.","190","Кнопка 204 показывает ответ без тела","tests.ui","2026-06-22","passed","2026-06-22","","test_status_buttons","",""
"Проверяем документированное поведение API без session header.","406","GET /users без X-Course-Session создает cookie-сессию и сохраняет ее в контексте","tests.api","2026-06-22","passed","2026-06-22","","test_users_list","",""
"Проверяем учебную демонстрацию метода HEAD.","212","HEAD /users возвращает 200 без тела ответа","tests.api","2026-06-22","passed","2026-06-22","","test_http_methods","",""
"Проверяем атомарное UI-действие DELETE и статус 204.","2041","DELETE /users/{id} удаляет пользователя через UI","tests.ui","2026-06-22","passed","2026-06-22","","test_users_delete","",""
"Проверяем ошибку частичного обновления по несуществующему id.","206","PATCH /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-06-22","passed","2026-06-22","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","202","GET /status/500 возвращает HTTP 500","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем стартовое состояние учебной сессии: API отдаёт список пользователей, корректный session id и ожидаемые demo id.","202","GET /users возвращает 3 демо-пользователя для новой сессии","tests.api","2026-06-22","passed","2026-06-22","","test_users_list","",""
"Проверяем отдельный UI-сценарий получения удалённого пользователя.","2438","GET /users/{id} показывает 404 после удаления пользователя","tests.ui","2026-06-22","passed","2026-06-22","","test_users_get","",""
"Проверяем, что сразу после создания updated_at совпадает с created_at.","217","POST /users создает пользователя без истории изменений","tests.api.basic","2026-06-22","passed","2026-06-22","","test_basic_responses","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","203","POST /users отклоняет некорректные данные: Пустой email","tests.api","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем атомарное UI-действие PATCH: меняется имя, email сохраняется.","2423","PATCH /users/{id} изменяет имя пользователя через UI","tests.ui","2026-06-22","passed","2026-06-22","","test_users_update","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","206","GET /status/201 возвращает HTTP 201","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что список пользователей приходит как JSON и соответствует базовому контракту.","1082","GET /users возвращает JSON c корректным Content-Type","tests.api.basic","2026-06-22","passed","2026-06-22","","test_basic_responses","",""
"Проверяем учебную демонстрацию метода OPTIONS.","1080","OPTIONS /users возвращает 204 без тела ответа","tests.api","2026-06-22","passed","2026-06-22","","test_http_methods","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","203","POST /users отклоняет некорректные данные: Пустое имя","tests.api","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","203","GET /status/301 возвращает HTTP 301","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем чтение одного пользователя по id.","403","GET /users/{id} возвращает существующего пользователя","tests.api","2026-06-22","passed","2026-06-22","","test_users_read","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","201","GET /status/204 возвращает HTTP 204","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","205","POST /users отклоняет некорректные данные: Некорректный email","tests.api","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем удаление по id, которого нет в текущей сессии.","201","DELETE /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-06-22","passed","2026-06-22","","test_users_delete","",""
"Проверяем создание пользователя из формы и состояние кнопок GET/PUT/PATCH/DELETE после успешного POST.","1834","POST /users создаёт пользователя, подставляет id и включает CRUD-кнопки","tests.ui","2026-06-22","passed","2026-06-22","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","206","GET /status/400 возвращает HTTP 400","tests.api","2026-06-22","passed","2026-06-22","","test_status_codes","",""
"Проверяем, что PATCH имени не меняет email и role.","403","PATCH /users/{id} изменяет только переданные поля","tests.api","2026-06-22","passed","2026-06-22","","test_users_update","",""
"Проверяем, что данные одной учебной сессии не видны в другой.","409","POST /users создает пользователя только в рамках текущей сессии","tests.api","2026-06-22","passed","2026-06-22","","test_users_list","",""
"Проверяем эффект удаления отдельным коротким сценарием.","606","GET /users/{id} после DELETE возвращает 404","tests.api","2026-06-22","passed","2026-06-22","","test_users_delete","",""
